,yyyymm,0,1,2,2-0
0,199601,-0.4972195456337076,0.22679757124017802,6.131138371260788,6.628357916894496
1,199602,-0.2925827891318637,0.07904260414471752,7.453819973963377,7.74640276309524
2,199603,-3.1990813218833334,0.009435802679990026,3.1119324852949237,6.3110138071782576
3,199604,-0.614750461480407,-0.3657163529139508,7.110080688709169,7.7248311501895754
4,199605,-0.9541596432657599,2.2668234750499288,2.2398473357027116,3.1940069789684715
5,199606,-0.8636197151803866,-0.6411663789477529,4.433647812248359,5.297267527428746
6,199607,-0.4709452744132316,-1.9253561423560654,0.4264507028086574,0.8973959772218889
7,199608,-2.1932092661709586,2.4760878042788357,0.7890918109060654,2.982301077077024
8,199609,-0.09087837824759377,0.4170699275905114,9.325935065895262,9.416813444142855
9,199610,-0.4300795961309056,-0.41509875919472383,3.182247167456002,3.6123267635869074
10,199611,-0.374852930954598,0.28739503246185694,11.712600835152795,12.087453766107393
11,199612,-4.113216212984472,-0.16308195334303915,3.3948948355043482,7.5081110484888205
12,199701,-1.2472336131832524,0.15765856402405878,14.3765419294376,15.623775542620853
13,199702,-2.9379678692395013,0.2253542165329825,0.6982555789708672,3.6362234482103686
14,199703,-0.9178505048986942,-4.287311589743394,0.08467658080904086,1.002527085707735
15,199704,-0.419905224286933,0.09486748718799211,18.772261266097097,19.19216649038403
16,199705,-0.34923524784433646,1.9902951225822763,3.2707763521085083,3.6200115999528446
17,199706,-0.15233965484462975,1.337438997666454,3.719137394915891,3.8714770497605207
18,199707,-0.22857664556320742,0.162038664011395,11.724124049722887,11.952700695286094
19,199708,-4.7752321042789845,-0.01293677496335922,1.2644048300284407,6.039636934307425
20,199709,-0.8652078072686205,0.4348358523185807,1.4560475599579519,2.3212553672265726
21,199710,-3.1320153879871735,-1.44108782396655,0.017070922210123046,3.1490863101972963
22,199711,-1.1081503402738986,-0.057722407857652286,6.5493687108082295,7.657519051082128
23,199712,-9.57565346745195,0.02929331955812938,1.372928685653037,10.948582153104987
24,199801,-0.18640208481831272,-0.17769382360613956,11.894675650216367,12.08107773503468
25,199802,-0.09624431581054363,0.6359783332142223,10.471626278420636,10.56787059423118
26,199803,-0.8555741719748103,-0.045629600592368834,6.175639815058162,7.031213987032972
27,199804,-2.0021518077498155,0.3510031496300815,1.9833127563307118,3.9854645640805275
28,199805,-1.0606072032851734,-4.936515350062115,0.1383560261783472,1.1989632294635206
29,199806,-0.14470329467618948,-0.024208133285703707,19.693630941620526,19.838334236296717
30,199807,-0.4495219770624871,-0.28360941672347034,2.4601707267428514,2.9096927038053386
31,199808,-0.2891441910366426,-4.184359861591121,-9.658846651440278,-9.369702460403635
32,199809,-0.14105088628961693,0.2910147369549256,16.374032237884006,16.51508312417362
33,199810,-0.22935551476828073,-2.562328252091191,2.7101586731376437,2.9395141879059246
34,199811,-0.10988819436101747,0.09384644746219638,14.783408227395286,14.893296421756304
35,199812,-0.21476509828814802,0.025534566090477755,13.646772403802787,13.861537502090934
36,199901,-0.8515065028384551,-0.0463055711847713,24.020881527986866,24.87238803082532
37,199902,-10.936863175658772,-0.66387388144185,0.4163089899186472,11.35317216557742
38,199903,-2.8559347894853073,-0.011799819471782828,18.15453604956305,21.010470839048356
39,199904,-7.92525121910996,-0.12036694999237336,1.1157929863755152,9.041044205485475
40,199905,-1.2506125696300483,-0.5496663185512862,0.31070051053020675,1.561313080160255
41,199906,-0.12857098424598196,0.020676142901057674,13.336070327507946,13.464641311753928
42,199907,-0.21605328675610797,-3.2113111129680494,1.025783438799819,1.241836725555927
43,199908,-0.17354747220678812,-0.7290594206246385,6.564960785337702,6.73850825754449
44,199909,-0.350051707348048,-1.592435296149263,4.95625870112874,5.306310408476788
45,199910,-0.09553943154136436,1.3838892879852485,2.0835271271148925,2.179066558656257
46,199911,-0.15829623575262033,-1.0442103485434386,8.296747310120331,8.455043545872952
47,199912,-0.16768439117024617,-0.2019451765488379,29.455371537953205,29.623055929123453
48,200001,-9.9256373267255,-1.9587199634299517,0.29412133200365115,10.219758658729152
49,200002,-4.887223524452402,1.3773614433247512,10.406212451073417,15.293435975525819
50,200003,-0.17161931294558075,1.5500171525860391,9.385692366284754,9.557311679230335
51,200004,-16.933386985474467,-0.3432734658926038,1.9962506216040645,18.929637607078533
52,200005,-5.067999449489332,-6.4452386907007115,0.08029434862510629,5.148293798114438
53,200006,-2.2315174570182004,-0.0032863169391296977,22.61414223104709,24.84565968806529
54,200007,-5.312363323286588,-2.4455702459607984,4.098468569799338,9.410831893085927
55,200008,-0.030040415211014953,0.0579147506638641,11.520113738362678,11.550154153573693
56,200009,-9.235257907568297,0.005459051150439502,0.2268747328028477,9.462132640371145
57,200010,-3.619009122451412,-3.1449220982780095,6.175818736188825,9.794827858640236
58,200011,-5.825002300021126,-13.499831621919936,0.024240441881304975,5.84924274190243
59,200012,-13.318125351551107,-2.327396449845217,2.103696823155611,15.421822174706717
60,200101,-0.11266765732809322,4.272422894438825,13.72775612657314,13.840423783901233
61,200102,-20.603314814322214,-1.4682178691472232,0.1733796321894026,20.776694446511616
62,200103,-9.567079009065582,-4.537683230205661,0.043626108695236226,9.610705117760817
63,200104,-0.11442846353843515,1.3085309430225858,19.384788947674103,19.499217411212538
64,200105,-3.741509897615643,1.176699063666058,0.23199237600944123,3.9735022736250842
65,200106,-2.621439941966042,2.7848313289569666,3.429660564962725,6.051100506928767
66,200107,-9.54853655266169,-0.027549163786530193,0.5941812855890699,10.142717838250759
67,200108,-17.520068785133926,-0.023016542052698947,0.20171156035529952,17.721780345489226
