,yyyymm,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,l-s
1,199503,-0.005592977847170943,0.0023753752374428123,-0.0006764285163374158,0.001228431659973136,0.014175095893687675,0.008372986934362732,0.011315904179682855,0.01454899074106405,-3.227871480343003e-05,0.0016059554681862747,0.007158925603563225
2,199504,-0.009722644665274447,-0.018617060886720688,0.000953714285976101,0.020085320626585666,0.01352544396436906,0.010592177053065427,0.019960962826579307,0.013056535732258477,0.021736051510170315,0.01330340307911271,0.0229213254595159
3,199505,0.0026809593667064136,-0.007240670868832608,0.006170486168489308,0.03047661648441382,0.01945078721252705,0.03245744459705388,0.041252877279376356,0.03236268354985258,0.035153898272214504,0.024562003562485075,0.021762023009172144
4,199506,-0.03942740754211844,-0.02037835029195248,-0.045705687500966784,0.021312154490762007,-0.005901902488547182,-0.010758367164274342,0.01675576037060433,0.01298621357063794,0.019235207159945443,0.011660259380855862,0.049781048262830876
5,199507,-0.04141348477240771,-0.026159511413594173,-0.05640954950695885,-0.006677199574954884,-0.01666080986530112,-0.02510677918693239,0.0006610881537713817,-0.011219903805210544,-0.0017010223282077387,0.01235102399402739,0.05245258605570311
6,199508,-0.05910411067286792,-0.04820479927461219,-0.07039297310188077,-0.03992397197224379,-0.028681210155894556,-0.029377497512094043,-0.019043389887618823,-0.003951739712162228,0.00150362181073416,0.002586087810417373,0.06023983799665739
7,199509,-0.08294536715606037,-0.028860640173376244,-0.05117337594532458,-0.019529001676935623,-0.021398372311048512,-0.014298262126989128,0.029740306912866003,0.019807326872318964,0.01932129634592601,0.003853238846436037,0.08476390284669139
8,199510,-0.09470346572954137,-0.016063852550272865,-0.017294653584486577,-0.017186619521212372,0.024822856598800812,0.038932347324566914,0.06551876882428759,0.035043933052209056,0.04071863966967555,0.05199931882562857,0.14398817674320835
9,199511,-0.10708119384335016,-0.0008931463423171946,-0.038012451377753435,-0.021633333620408354,0.022683935301513705,0.04964065811226719,0.07942425628277089,0.05360520401576296,0.05369224455939896,0.05963193137692435,0.16375477820586581
10,199512,-0.12829403453129662,-0.025038346479389448,-0.03949509014701316,-0.0043494442505308435,0.022909274495170353,0.04691189704295157,0.09629830260149921,0.0627130398279446,0.06717887230378122,0.06073272812128762,0.185605144446716
11,199602,-0.1268845911778899,-0.0532026890614376,-0.05820432912534352,-0.024472290210473067,0.008848324829757961,0.04369502804028864,0.0772930803343162,0.06350735696430318,0.07100038156360679,0.0793513626087859,0.20283840011069354
12,199603,-0.13202927644588322,-0.0856239376967403,-0.06420462120162644,-0.02115551139501434,0.0021813004162461033,0.015668366262835746,0.04656525301836679,0.07021659694693987,0.08017052397386475,0.08523753983057765,0.21381296748534234
13,199604,-0.13704892793959897,-0.10190371084784804,-0.09348829414419815,-0.04178160793499916,-0.033440742416771294,-0.02789264245969685,0.015717364833360083,0.053933668324914384,0.054844701958831496,0.06793027103557231,0.20158725282923298
14,199605,-0.1358349679416888,-0.1214228363652946,-0.09398614205683423,-0.03686085460295482,-0.027801108040082352,-0.05638302341949754,0.012852521357859347,0.04929637049979368,0.047717310705172676,0.06599325576926167,0.19843244404051785
15,199606,-0.1622590872317051,-0.08344025173791308,-0.08469763133844604,-0.015063204950186888,0.0038118843289735166,-0.03459093409630705,0.04513510059474841,0.0782158281501722,0.06827704194744975,0.10158489198683122,0.2588788450760925
16,199607,-0.18603546625936082,-0.060330073193426745,-0.05962967436833847,0.03553445105266649,0.06343599949114911,0.015592847321029717,0.06934624097975653,0.11441653342926225,0.09183957427180761,0.12935869897681412,0.30924780294458676
17,199608,-0.2006157816213345,-0.0957095952212517,-0.07737117045179373,0.008405294845170528,0.038547977130975394,0.00016636228934596535,0.056590266817576874,0.10624491097343457,0.05179166186726191,0.11882421611402864,0.31323519048807735
18,199609,-0.1997103524822363,-0.08134505140344862,-0.05733538722740976,0.03629493908922403,0.042991210977118985,0.010961489778577714,0.05371513809999323,0.11879283543588304,0.0525797778749602,0.11612803626839996,0.3096303131373927
19,199610,-0.2028390584554946,-0.0714399893638833,-0.03822837987631884,0.08782097467963085,0.0743680780665957,0.028638980360069812,0.12307876282719733,0.13463723682816928,0.07322669797842413,0.1597087677742135,0.35619718401806993
20,199611,-0.190701763798501,-0.047627960237051264,-0.008759999260422112,0.11672045744573527,0.10139502345842982,0.0572297960073687,0.1327191907135123,0.1516045204017525,0.10305725078573034,0.17302141228263687,0.3573868778268168
21,199612,-0.210597468524549,-0.08904553739532173,-0.03616353202512157,0.09888794835320669,0.0774131567881093,0.03448646462887166,0.13067431444451974,0.12726270677314666,0.10619866424013785,0.17521180641814588,0.3790425773922433
22,199702,-0.20165990806037562,-0.09037158418982957,-0.023076342571060296,0.12917080587134327,0.09896501732451567,0.05865731929404677,0.13803377934734862,0.1430641456273945,0.14105372973889735,0.20512802626631815,0.4002075960350684
23,199703,-0.210881285178896,-0.08139468712250113,-0.013460262184513088,0.13559726986796228,0.11389730804158013,0.05219698127391785,0.15018703012094234,0.1576402253429463,0.1461720412922044,0.21695751409602,0.4210672365972126
