,yyyymm,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,l-s
1,199503,0.0005856021470541179,0.010490742063743855,-0.007442948599389339,0.005774612508698395,0.008933144767979762,0.020359355650692856,0.012135830526195894,0.00613174876417645,-0.0010194957034262654,0.0020940092011515156,0.0015092899727384955
2,199504,-0.008044425062954184,-0.0031861527315046375,0.004697574625387482,0.015469129387117513,0.009845388504649959,0.03092472503541742,0.020368066394021868,0.009149007702552444,0.014204494461357776,0.011830782872321512,0.019719695153812975
3,199505,-0.0019205386198873258,0.008610563330369013,0.009804316584573904,0.03160597498268604,0.02607372776669535,0.0494011299411935,0.03969725455323076,0.02815063737658912,0.03023069482145953,0.0251829224132057,0.026992188003982908
4,199506,-0.025387130513241454,-0.022984595128956453,-0.016924038861608103,0.012962108701042405,-0.009203156135264956,0.020235466223520075,0.0036677138962598957,0.01643840041417249,0.006665100506041719,0.016184285894996167,0.041126942680645054
5,199507,-0.022883919421453094,-0.03869398786212427,-0.026592517220024044,0.0017926803020039354,-0.03463349842879217,-0.011727534324152706,-0.010294317791995834,-0.0064403285392647495,-0.010442922859877697,0.015208777994118211,0.03763948959096773
6,199508,-0.03470267561186489,-0.06472480689870458,-0.04363105254529473,-0.00945860807757954,-0.052298958637670936,-0.03230381146214125,-0.02275250577414916,0.004334283877613306,-0.011783213167029792,0.008179061141923988,0.04237239454363903
7,199509,-0.06507368369639364,-0.041457937600479264,-0.026139892474317826,0.019473671413296537,-0.0353377126829142,0.003999299541942017,0.004407351942261023,0.022602239643531946,0.008174479834713822,0.005647370858922095,0.06939006263391503
8,199510,-0.07054319596079762,-0.03662338113786087,0.002135817319805146,0.055331942591525546,-0.011969707792318523,0.041914744788821616,0.030124187799527528,0.06185593836548605,0.030513439717334875,0.04066332542769335,0.10965908526571697
9,199511,-0.07794939231130202,-0.04279428017658942,0.0015793914144364481,0.061715094792152855,-0.028952862808446656,0.043048994396155345,0.055427405864451704,0.07170877066331238,0.0420201359694303,0.04527845672355874,0.12159223663114738
10,199512,-0.09609313927410904,-0.07313480717513986,-0.00022530428643541462,0.06849751259856596,-0.023988018052079375,0.04000266113690732,0.06450961014647148,0.09074445662969063,0.052832433620485744,0.04794216477873728,0.14202936752640544
11,199602,-0.10624688266287396,-0.10471588705095639,-0.009487400221312076,0.07994335808866974,-0.05086761801026614,0.01290054891687896,0.06741550608779978,0.08411310128845963,0.05281524565092377,0.07451362010725873,0.17839021849424264
12,199603,-0.11682065530314019,-0.12271436773282057,-0.016176397855538253,0.06496855802538458,-0.05619405199354329,0.012920175228505913,0.054825582252270924,0.054991430919391245,0.06390410298567681,0.0821613227179491,0.19642175657220765
