,yyyymm,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,l-s
1,199503,-8.361827935231203e-05,0.0019693077949338275,-0.006668186994252818,0.012316292496447478,0.018923936063570894,0.017410382004427342,-0.004370925267442108,0.006964600957889211,-0.0022211350886151694,0.0029273024075873733,0.003010669308057581
2,199504,-0.00534046415379266,-0.02242041029411314,0.0009102356673416079,0.03371747855000467,0.029493642701197677,0.016949343882334628,-0.011259732213257873,0.007005702769559768,0.021090924492392523,0.01683885741194922,0.02207952138942733
3,199505,0.0037792872971987657,-0.00959123434731289,0.004749936544892975,0.04705938325350269,0.0448460964423322,0.03513812692431499,-0.0040987498952961485,0.03139093414798266,0.03287911750260071,0.034943832354754234,0.03114669060022935
4,199506,-0.039617704171018286,-0.026121649005524713,-0.010546752254081138,0.0288121814035595,0.0024630198410027226,0.005532357126640859,-0.029332913162152245,0.0040799971076441,0.00954273601668754,0.021976295363226386,0.06030249550234724
5,199507,-0.040210549775568136,-0.029816991522108306,-0.03008947281707089,0.021747997881855597,-0.022025340472374793,-0.0097150198797367,-0.054379900466050894,-0.018850779894360434,-0.013846591282398058,0.002751152514348428,0.04168134451607346
6,199508,-0.05925112020982819,-0.053527307953122445,-0.06384219737350973,0.02480196864500549,-0.055054940041715794,-0.005497427883692581,-0.06828160440805284,-0.020001323840562184,-0.008295219184308943,-0.005464805891825516,0.052302879922375124
7,199509,-0.08762681812878445,-0.04069029229111202,-0.0393066174975172,0.03212443361632725,-0.03852657738897791,0.016253978486028022,-0.035781424882989576,0.004562672696265563,0.016070071419557123,-0.0024095317750030282,0.08286781185647095
8,199510,-0.11073329239552986,-0.02164158106062541,-0.010018616007440289,0.051242114068729555,-0.019935740356294515,0.06797352307455708,0.0027304745055627896,0.03157356940039134,0.033383574010345106,0.04065327800764266,0.14757353502993475
9,199511,-0.11973539842830207,-0.0442850379530024,0.009997066836377626,0.038349010282932014,-0.023083491215736746,0.07125108565783336,0.018306677465704854,0.04876276565877932,0.047859024665827886,0.048348471032621694,0.1641224290882449
10,199512,-0.13865178049497806,-0.07114523392665446,-0.005421310656640107,0.03472749758364782,-0.026397890443035154,0.1078769275750675,0.02576437821175424,0.05822024512403795,0.06761081107534167,0.046115221790516914,0.18049548874255114
11,199602,-0.195323669268542,-0.07374956367678286,-0.03013232376493239,0.04690282115219184,-0.03650897096273385,0.09763154164327854,0.009605566695840458,0.05740360145040481,0.06371428104940045,0.06878419796200791,0.2556250554749891
12,199603,-0.21725800546181245,-0.07253945251064606,-0.053841798922109434,0.02754667048327084,-0.0436318333740324,0.10416603918281005,0.015859179674967173,0.05754710540229259,0.05064605722253324,0.07547981311274435,0.2836424847380922
13,199604,-0.24805942722021698,-0.07242136744751534,-0.090488322516144,-0.006207956107008767,-0.08145106094748408,0.08987545264770026,-0.0031056585660390636,0.015717986827807236,0.03535391606418734,0.04218748743426225,0.281227225960017
14,199605,-0.2519284834899986,-0.06560961106431852,-0.08776319901007565,-0.01007548764077325,-0.10225045663040289,0.07983379666734464,-0.01148181603107747,-4.1999019014318795e-06,0.04359621272658862,0.03514876685992296,0.27806982091485816
