,yyyymm,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,l-s
1,199503,0.008443720917183952,0.007694716667709225,0.023940978878619814,0.022464453924000174,0.01502558244521346,0.029439695646740132,0.020158944870247872,0.03341559209795993,0.02576004368969052,0.027128271471299262,0.018841502347937796
2,199504,0.007479718456861151,0.020056492080979173,0.034452393970459246,0.04657529201506112,0.02983194758707782,0.03636463960292436,0.03132560000339639,0.0803904161180615,0.05784111960577969,0.07886949726179257,0.0714972609598938
3,199505,0.023686130743868432,0.05011491231639302,0.06748878382798634,0.06945625124546437,0.06362490086332293,0.06700146808211663,0.05917857317800196,0.12015581774524967,0.08602649306506545,0.10481642721214982,0.08139613846322342
4,199506,0.04927779600678378,0.06678709520710437,0.08396572479305389,0.12040604818985765,0.08341493421579349,0.08727021332066986,0.10443803775664873,0.13658022657004243,0.12348059272224723,0.13760988538147395,0.08878392791846638
5,199507,0.08513977016184937,0.09862041044744027,0.11686947437638014,0.148738638838043,0.12030028323481927,0.13016654480620393,0.1373311068482405,0.16444963439220506,0.17309837400578315,0.18391794142940113,0.09960936801299951
6,199508,0.08615387475073212,0.10677552892754381,0.11376591433877062,0.15108609836448905,0.12224882475691529,0.14166258530696446,0.14971102412646975,0.17504859430955466,0.1784649405185218,0.1809067880192587,0.09558001767166423
7,199509,0.0726222355007109,0.11165388411697272,0.14675115441058895,0.20280481365306974,0.16245015438061125,0.17639868532797673,0.1895867780804099,0.21447640001754156,0.20284666087060854,0.2216260260787256,0.14912091006387387
8,199510,0.04457178883338228,0.08457953899339754,0.11848982851129752,0.1572597943462048,0.13437567554449625,0.15117363623643648,0.16257058315986717,0.2037644347121366,0.20195251370206715,0.2283389351585704,0.18293876254466399
9,199511,0.10129142984539571,0.13220163406916027,0.1559727669828555,0.19526528403112176,0.1874569084717611,0.2087876282888529,0.20774632027396225,0.2359883204434892,0.2652066272043787,0.2490234429518337,0.14476000755726107
10,199512,0.09617051814527824,0.13695672066599401,0.16119789300002493,0.20405990806634008,0.20527801477017563,0.23263545359409968,0.21454904661500118,0.2530189014510937,0.2772203401382375,0.2645662062843768,0.1653192137709987
11,199601,0.0945131970291459,0.1458327811483709,0.1700963664637018,0.2216335310269391,0.21636692228485607,0.2621862453042076,0.2548864440344002,0.2698284618847453,0.3121121353156959,0.28996543593881685,0.19233156000395268
12,199602,0.10046766584644144,0.15067019191172515,0.1927532295279839,0.2306108579145177,0.2345298314743698,0.26495553663751864,0.25864135709110225,0.2949192645787684,0.3430376425970162,0.29771989197081455,0.1941422874329763
13,199603,0.10218017500324544,0.15584535349962295,0.2008895691472297,0.2503084523061454,0.24893136862364953,0.27291848722215684,0.25821851982906263,0.3162256969338207,0.3485041655837579,0.3086897921060757,0.20341547201863439
14,199604,0.1347584297633771,0.17686973932582023,0.21540645203904657,0.2737908312398565,0.28857326941427774,0.2910829069946413,0.2667790587211696,0.3312935083647336,0.37382390597933396,0.336322997252424,0.19830624936202196
15,199605,0.1450559177409479,0.18663274630993681,0.2318679231770254,0.29795225219916893,0.30619134234270984,0.2949515491030109,0.3045787240750286,0.3416500318725175,0.41676278295457975,0.3635428394960718,0.21540227286390196
16,199606,0.09881389224092484,0.16271294274140638,0.20275518493393557,0.2862024964980646,0.3015830441491684,0.30994899303667095,0.2985193823668707,0.33047891355945336,0.4065249188429462,0.3637443256958717,0.259792926552726
17,199607,-0.0022642407018360483,0.09878695937203033,0.1041902943247122,0.2202268204404071,0.21501426499143073,0.21582295231948018,0.2563557134178793,0.2883029201576497,0.3642014419715706,0.34114399346779917,0.3309880558489945
18,199608,0.02641973588618442,0.1302542177072112,0.1370977961183551,0.26245516035889405,0.2534798193577738,0.25467065011997225,0.27917982329536467,0.30610572411579573,0.3986351829612086,0.3616642708878242,0.32258579778357216
19,199609,0.061246729603111935,0.16827221069446996,0.16712596279242015,0.29646865474951944,0.31095362467063065,0.31183206040979444,0.3493563474608826,0.36782748868072973,0.4491269570623982,0.4024489539143494,0.3287539810394386
20,199610,0.0029391289608776475,0.13179099065560146,0.13556701385917305,0.29471083218858973,0.3333531387509504,0.3162474966340259,0.40349634023698167,0.38131444185251295,0.4607981530623018,0.448132422741212,0.42713517405943874
21,199611,0.07666656469849775,0.20010553820185328,0.17417577777834872,0.3661698131199974,0.4117511721980368,0.36368421283179414,0.4781324985161809,0.44012527012354374,0.5034551025547894,0.48760846178733563,0.39021413008688244
22,199612,0.05543653922510497,0.1976021489358158,0.1715914731052519,0.3195661504842167,0.38437185364289295,0.3454411063725692,0.45467807151797374,0.4253268569357981,0.5030922079058037,0.48815794497800963,0.4115409765593695
23,199701,0.06701686864843798,0.21466533091375756,0.19651609063647765,0.348124372661235,0.41095060347811085,0.4135397490937687,0.5552542397561856,0.47273724684566043,0.561653843755276,0.5565568943752821,0.46900274228386957
24,199702,0.03451710263348924,0.20097677949233503,0.20599659296360087,0.34874415163804096,0.39873136399295983,0.41195722897153664,0.5590225608122573,0.47526522703932683,0.5745550413914124,0.5294595163813574,0.4742328273539104
25,199703,-0.0035833468107938984,0.12228738992225244,0.15398685840354587,0.2848935302646935,0.3438868007483062,0.35806328631200135,0.5196468168935194,0.43467184686787913,0.5129538749774148,0.4858635448751364,0.46894329288771186
26,199704,0.0014869998472859776,0.12110061327854481,0.15138387645606866,0.3162131346518653,0.4051000944640295,0.40926210976461413,0.5642451497875848,0.5084686300791837,0.555829058129866,0.5274542624404033,0.5056459394068965
27,199705,0.1044939394123817,0.17180177180574147,0.2357514959973548,0.39260534016358434,0.4996145176840494,0.48208955018874133,0.6171314895881724,0.5743873871920082,0.6061769120402064,0.5668960995143685,0.4349346917364088
28,199706,0.1314290700334067,0.19532234526163514,0.26024820075642885,0.4045286979091108,0.534215769916971,0.5553496679161359,0.6652780166987575,0.6369016604778706,0.6834195929760841,0.5739797352050087,0.4145356628731766
29,199707,0.19461309019209275,0.2445234568399975,0.31144747130048456,0.4338348632436975,0.6048575333831407,0.6281368232440815,0.7482807080583719,0.7419515716323104,0.7668637989220174,0.6450887742670609,0.4229753987655087
30,199708,0.16467804754915022,0.23706175651017752,0.3011264061179413,0.40866320565621356,0.5666931705372096,0.5707949423157979,0.7101990294665487,0.6792915544893418,0.7410165137066955,0.6280558756244312,0.43549941277510323
31,199709,0.20484010855274876,0.27688229227792854,0.343804001353176,0.4347529895763035,0.6423807875061691,0.6126476128791801,0.7769801312846114,0.7549442722478461,0.8051405865713624,0.6900312719673555,0.45819657723203233
32,199710,0.1556286011188295,0.2161266592424965,0.3260554482052409,0.3844234411318863,0.5935108696241255,0.5933366047418185,0.7535792292138147,0.7209077167263227,0.7742399781702779,0.6419618076785737,0.45928380898998533
