,permno,yyyymm,predicted_ret
0,10006.0,195107,0.040212009102106094
1,10006.0,195108,0.03915096074342728
2,10006.0,195109,0.03956697881221771
3,10006.0,195110,0.03704546391963959
4,10006.0,195111,0.039149291813373566
5,10006.0,195112,0.038602761924266815
6,10006.0,195201,0.03905237466096878
7,10006.0,195202,0.03851692005991936
8,10006.0,195203,0.03868584334850311
9,10006.0,195204,0.041463594883680344
10,10006.0,195205,0.03712913393974304
11,10006.0,195206,0.03395380079746246
12,10014.0,195107,0.04648865759372711
13,10014.0,195108,0.047659631818532944
14,10014.0,195109,0.0460030697286129
15,10014.0,195110,0.04602740705013275
16,10014.0,195111,0.04586256295442581
17,10014.0,195112,0.04719977453351021
18,10014.0,195201,0.048189181834459305
19,10014.0,195202,0.0449705496430397
20,10014.0,195203,0.04570082947611809
21,10014.0,195204,0.04579392075538635
22,10014.0,195205,0.047139011323451996
23,10014.0,195206,0.04542296379804611
24,10022.0,195107,0.05194079130887985
25,10022.0,195108,0.05246593803167343
26,10022.0,195109,0.051810964941978455
27,10022.0,195110,0.05270402878522873
28,10022.0,195111,0.052701227366924286
29,10022.0,195112,0.05350891500711441
30,10022.0,195201,0.051262207329273224
31,10022.0,195202,0.0515158474445343
32,10022.0,195203,0.05463145673274994
33,10022.0,195204,0.051749087870121
34,10022.0,195205,0.05287223309278488
35,10022.0,195206,0.05350044369697571
36,10030.0,195107,0.037694528698921204
37,10030.0,195108,0.03799939900636673
38,10030.0,195109,0.035878874361515045
39,10030.0,195110,0.03676129877567291
40,10030.0,195111,0.03520714491605759
41,10030.0,195112,0.03401930630207062
42,10030.0,195201,0.0340598002076149
43,10030.0,195202,0.12880373001098633
44,10030.0,195203,0.033644553273916245
45,10030.0,195204,0.03445226699113846
46,10030.0,195205,0.03430087864398956
47,10030.0,195206,0.03611864149570465
48,10057.0,195107,0.03876502811908722
49,10057.0,195108,0.035693906247615814
50,10057.0,195109,0.12688428163528442
51,10057.0,195110,0.03724847361445427
52,10057.0,195111,0.03840813413262367
53,10057.0,195112,0.040148623287677765
54,10057.0,195201,0.1276756376028061
55,10057.0,195202,0.041120149195194244
56,10057.0,195203,0.04127059131860733
57,10057.0,195204,0.0400545597076416
58,10057.0,195205,0.12715041637420654
59,10057.0,195206,0.04290682077407837
60,10102.0,195107,0.04575854167342186
61,10102.0,195108,0.045891884714365005
62,10102.0,195109,0.04665033519268036
63,10102.0,195110,0.04952886328101158
64,10102.0,195111,0.04843881353735924
65,10102.0,195112,0.04972853139042854
66,10102.0,195201,0.04756453260779381
67,10102.0,195202,0.04711802303791046
68,10102.0,195203,0.04975660517811775
69,10102.0,195204,0.046989403665065765
70,10102.0,195205,0.04708531126379967
71,10102.0,195206,0.048695389181375504
72,10137.0,195107,0.04446474462747574
73,10137.0,195108,0.04500480368733406
74,10137.0,195109,0.04616313427686691
75,10137.0,195110,0.04626936838030815
76,10137.0,195111,0.0446513369679451
77,10137.0,195112,0.04481175169348717
78,10137.0,195201,0.04457378759980202
79,10137.0,195202,0.043004732578992844
80,10137.0,195203,0.04294428601861
81,10137.0,195204,0.04356541857123375
82,10137.0,195205,0.043006736785173416
83,10137.0,195206,0.04127080366015434
84,10145.0,195107,0.009223531931638718
85,10145.0,195108,0.008339066058397293
86,10145.0,195109,0.00820009782910347
87,10145.0,195110,0.012922689318656921
88,10145.0,195111,0.013464730232954025
89,10145.0,195112,0.008814681321382523
90,10145.0,195201,0.012428786605596542
91,10145.0,195202,0.014333024621009827
92,10145.0,195203,0.013472694903612137
93,10145.0,195204,0.01677693799138069
94,10145.0,195205,0.01573944091796875
95,10145.0,195206,0.012437161058187485
96,10153.0,195107,0.03212078660726547
97,10153.0,195108,0.030691470950841904
98,10153.0,195109,0.030256304889917374
99,10153.0,195110,0.030280325561761856
100,10153.0,195111,0.030239924788475037
101,10153.0,195112,0.027059193700551987
102,10153.0,195201,0.02743695303797722
103,10153.0,195202,0.029924467206001282
104,10153.0,195203,0.028596580028533936
105,10153.0,195204,0.030098270624876022
106,10153.0,195205,0.02524709701538086
107,10153.0,195206,0.02597733959555626
108,10161.0,195107,0.02911379188299179
109,10161.0,195108,0.022075075656175613
110,10161.0,195109,0.02316746488213539
111,10161.0,195110,0.02428917959332466
112,10161.0,195111,0.019325505942106247
113,10161.0,195112,0.017962001264095306
114,10161.0,195201,0.01710069552063942
115,10161.0,195202,0.02000221237540245
116,10161.0,195203,0.022425752133131027
117,10161.0,195204,0.025922372937202454
118,10161.0,195205,0.04278600215911865
119,10161.0,195206,0.04086479917168617
120,10188.0,195107,0.0516568198800087
121,10188.0,195108,0.05129702761769295
122,10188.0,195109,0.05221868306398392
123,10188.0,195110,0.05198744311928749
124,10188.0,195111,0.054014578461647034
125,10188.0,195112,0.04932533577084541
126,10188.0,195201,0.05169962719082832
127,10188.0,195202,0.0504167303442955
128,10188.0,195203,0.050912708044052124
129,10188.0,195204,0.04991358518600464
130,10188.0,195205,0.05006781965494156
131,10188.0,195206,0.05104878544807434
132,10196.0,195107,0.04756266996264458
133,10196.0,195108,0.0476001538336277
134,10196.0,195109,0.04776213690638542
135,10196.0,195110,0.04664471000432968
136,10196.0,195111,0.048225924372673035
137,10196.0,195112,0.04690616577863693
138,10196.0,195201,0.047376248985528946
139,10196.0,195202,0.047595828771591187
140,10196.0,195203,0.05259538069367409
141,10196.0,195204,0.052529677748680115
142,10196.0,195205,0.05218010023236275
143,10196.0,195206,0.05302250757813454
144,10209.0,195107,0.01746741309762001
145,10209.0,195108,0.01599700376391411
146,10209.0,195109,0.019923385232686996
147,10209.0,195110,0.02106211706995964
148,10209.0,195111,0.016387440264225006
149,10209.0,195112,0.018096964806318283
150,10209.0,195201,0.019233737140893936
