,permno,yyyymm,predicted_ret
0,10006.0,195107,-0.048355329781770706
1,10006.0,195108,-0.04789908602833748
2,10006.0,195109,-0.04842472821474075
3,10006.0,195110,-0.04819909855723381
4,10006.0,195111,-0.04843958094716072
5,10006.0,195112,-0.048779092729091644
6,10006.0,195201,-0.048672810196876526
7,10006.0,195202,-0.048303503543138504
8,10006.0,195203,-0.04847453907132149
9,10006.0,195204,-0.04891534894704819
10,10006.0,195205,-0.048422619700431824
11,10006.0,195206,-0.049004875123500824
12,10014.0,195107,-0.04171084612607956
13,10014.0,195108,-0.044021327048540115
14,10014.0,195109,-0.041872769594192505
15,10014.0,195110,-0.04202047735452652
16,10014.0,195111,-0.04333838075399399
17,10014.0,195112,-0.04346078634262085
18,10014.0,195201,-0.04320312291383743
19,10014.0,195202,-0.04198253154754639
20,10014.0,195203,-0.04245857149362564
21,10014.0,195204,-0.04221278801560402
22,10014.0,195205,-0.0429941788315773
23,10014.0,195206,-0.04296490550041199
24,10022.0,195107,-0.04104120656847954
25,10022.0,195108,-0.04133236035704613
26,10022.0,195109,-0.04108006879687309
27,10022.0,195110,-0.04113331064581871
28,10022.0,195111,-0.04208363965153694
29,10022.0,195112,-0.041396334767341614
30,10022.0,195201,-0.04108540713787079
31,10022.0,195202,-0.04147764667868614
32,10022.0,195203,-0.042627155780792236
33,10022.0,195204,-0.0427226759493351
34,10022.0,195205,-0.0421505868434906
35,10022.0,195206,-0.04222631826996803
36,10030.0,195107,-0.0488513708114624
37,10030.0,195108,-0.049652278423309326
38,10030.0,195109,-0.04948548972606659
39,10030.0,195110,-0.04968445003032684
40,10030.0,195111,-0.049032680690288544
41,10030.0,195112,-0.049027059227228165
42,10030.0,195201,-0.049533650279045105
43,10030.0,195202,-0.05396810173988342
44,10030.0,195203,-0.04905835539102554
45,10030.0,195204,-0.04903881624341011
46,10030.0,195205,-0.04876236617565155
47,10030.0,195206,-0.04926685243844986
48,10057.0,195107,-0.046361565589904785
