timeStamp,alpha,r2_oos,val_loss
16660074449829280,0.9607201168467885,-0.01419585249925337,63.35327058679917
16660152842793228,0.8799549590415439,-0.016974444811906242,62.257083892822266
16660233802138686,0.8203579279559993,-0.012304628586026212,61.14691790412454
16660311170119586,0.8926749172013513,-0.012975914429957491,60.77280022116268
16660390288661370,1.052719388060011,-0.009689231254602415,57.134571973015284
16660470145678368,0.9228993733628287,-0.005982210283528966,55.906200633329505
16660549899906866,1.2593319833686167,-0.004937391620031706,54.28593669218176
16660629909413012,1.067217082695594,-0.005303998699162316,54.35909069285673
16660712930479606,1.0562053016025001,-0.0034803182400291455,53.53607716279871
16660795687603344,1.0235268906256447,-0.00443230158000163,53.32252592198989
